session_nr,date,speech_id,first_name,last_name,fraktion,speech_len,Parlamentarische Diskussionskultur / Debattenbeiträge,Ukraine / Russland / Europäische Sicherheitspolitik,"Bildung, Soziales und Kommunalfinanzierung",Energie- und Wirtschaftspolitik,Fragestunde und Parlamentarische Anfragen,Gesetzgebungsverfahren und Verwaltung,Bundeswehr / Auslandseinsätze / Verteidigung,"Demokratie, Gesellschaft und Wertedebatte",dominant_topic_id,dominant_topic_label
2,2021-11-11,ID20206100,Daniel,Föst,FDP,671,0.036509810024218,0.0,0.013838693135001,0.0311261420259344,0.0,0.001522290128454,3.204960197001002e-05,0.0049871119249299,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20206200,Marc,Bernhard,AfD,369,0.0190284659903134,0.0,0.0,0.0557201060455576,0.0,0.0,0.0,0.0210013348746456,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20206300,Kevin,Kühnert,SPD,773,0.036130480719667,0.0,0.021334112906086,0.0301390582497184,0.0120301450531958,0.0024532834775308,0.0,0.0062808081882141,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20206400,Peter,Aumer,CDU/CSU,747,0.0458157165864327,0.0,0.0136670212116122,0.0271812156009979,0.0147253746160848,0.006298981327459,0.0,0.0032224150833819,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20206500,Anja,Weisgerber,CDU/CSU,691,0.0214362826394237,0.0240099972718965,0.0062834927682511,0.0337142221663474,0.0009904227214533,0.014171549019816,0.0,0.0008984398990635,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20206600,Carsten,Träger,SPD,780,0.0411720448385361,0.0071453578439862,0.0112102559770896,0.0283004438154649,0.006887340854517,0.0050016638795001,0.0,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20206700,Oliver,Krischer,Grüne,693,0.0503618275910967,0.0083178427399097,0.0,0.0413431595026616,0.0,0.0007280776260035,0.0,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
2,2021-11-11,ID20206800,Lukas,Köhler,FDP,867,0.0400720038143718,0.0048714536877833,0.0187715695663023,0.0529614513889227,0.0,0.0,0.0,0.0,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20206900,Steffen,Kotré,AfD,828,0.0281522905465419,0.0075426154939371,0.0,0.0326378229533472,0.0011455404156185,0.0,0.0,0.0317153345864724,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207000,Amira,Mohamed Ali,Die Linke,870,0.0354220499133128,0.0,0.025549478022854,0.0361705889074309,0.0,0.0,0.0,0.0093065216866781,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207100,Nina,Scheer,SPD,685,0.0268764204876023,0.0067798205938126,0.0056837269989768,0.0458719641664734,0.0094985420564508,0.0265720918358707,0.0035161218622418,0.0,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207200,Christoph,Ploß,CDU/CSU,758,0.0291452136500335,0.0039430234043092,0.0164493407559309,0.0369776371480634,0.0186308557753245,0.0168096585014119,0.003390995220823,0.0,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207300,Jürgen,Trittin,Grüne,647,0.0299935702756655,0.004141990171301,0.0,0.0650691076780844,0.0,0.0,0.0060225186585904,0.0,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207400,Judith,Skudelny,FDP,476,0.0251779925296332,0.0065521238464326,0.0,0.0362089338528463,0.0254849890081692,0.0068512531517725,0.0,0.001948482043621,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207500,Timon,Gremmels,SPD,911,0.0319864686306695,0.0082768135792932,0.0137789144412561,0.0483775403303448,0.0,0.0076689009811709,0.0026072766462396,0.0,4,Energie- und Wirtschaftspolitik
2,2021-11-11,ID20207600,Kai,Whittaker,CDU/CSU,764,0.0399521952360213,0.0102909029522035,0.0025011228146994,0.0491881027157498,0.0,0.0035783960015777,0.0016582079123757,0.0,4,Energie- und Wirtschaftspolitik
3,2021-11-18,ID20300100,Sabine,Dittmar,SPD,680,0.0071089819595306,0.0,0.0094567653479121,0.0073460270692759,0.0,0.0712456574784779,0.0017952850266977,0.0081394511417594,6,Gesetzgebungsverfahren und Verwaltung
3,2021-11-18,ID20300200,Stephan,Stracke,CDU/CSU,660,0.016743255660265,0.0011321910220968,0.0200359178257725,0.007817410477229,0.0033008606053506,0.0365699517050387,0.0018133893221452,0.0089213735729223,6,Gesetzgebungsverfahren und Verwaltung
3,2021-11-18,ID20300300,Katrin,Göring-Eckardt,Grüne,1019,0.0206681971288868,0.000945125390861,0.0395344064038496,0.0031018460130844,0.0078221439980508,0.0264317693569205,0.0,0.0262555931190726,3,"Bildung, Soziales und Kommunalfinanzierung"
3,2021-11-18,ID20300400,Marco,Buschmann,FDP,644,0.03005672848305,0.0043574932656006,0.0047019510109412,0.0031725061298998,0.0,0.0187976026774486,0.0,0.0250016370840275,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20300500,Tino,Chrupalla,AfD,640,0.0221779975163604,0.0,0.0011134510088788,0.0122477448715396,0.0,0.0139728264100399,0.0,0.0532362546146958,8,"Demokratie, Gesellschaft und Wertedebatte"
3,2021-11-18,ID20300600,Dietmar,Bartsch,Die Linke,1060,0.0460942747034806,0.0003012638364144,0.0100521954392706,0.0115448046317013,0.0095154169504761,0.0162385629489121,0.0075179947445424,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20300700,Johannes,Fechner,SPD,756,0.0283111895400093,0.0,0.0014750266001198,0.0014943938610484,0.0,0.0472092986828718,0.0,0.01585991821051,6,Gesetzgebungsverfahren und Verwaltung
3,2021-11-18,ID20300800,Norbert,Kleinwächter,AfD,207,0.0090281784225551,0.0,0.0075397638409617,0.0011482061355206,0.0492104173007539,0.0,0.0011150224230907,0.0155595542357206,5,Fragestunde und Parlamentarische Anfragen
3,2021-11-18,ID20300900,Johannes,Fechner,SPD,79,0.0141993617562709,0.0,0.0,0.0029261071024444,0.0104532075749781,0.0143775376036004,0.0,0.0158769304983028,8,"Demokratie, Gesellschaft und Wertedebatte"
3,2021-11-18,ID20301000,Thorsten,Frei,CDU/CSU,795,0.0393501987612733,0.0,0.0085233729023442,0.0008875062161569,0.0005628448073471,0.0355921277910874,0.0046877177366013,0.0132624174818132,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20301100,Manuela,Rottmann,Grüne,629,0.0402375793865113,0.0,0.0146829174958312,0.0,0.0181203208269299,0.0009148614331129,0.0030387127504697,0.0194352106143001,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20301200,Jens,Spahn,CDU/CSU,353,0.0268814422149716,0.0067998188794968,0.0092758206330907,2.0818038665517185e-05,0.0040013934126035,0.0293283620602362,0.0020932168174864,0.0,6,Gesetzgebungsverfahren und Verwaltung
3,2021-11-18,ID20301300,Manuela,Rottmann,Grüne,145,0.0304919144400574,0.003281511776527,0.0,0.0023686428126284,0.0027191379634413,0.0109732225877158,0.0,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20301400,Michael,Theurer,FDP,845,0.0340486879251308,0.001950817354284,0.016865878915995,0.0014021348303514,0.0029358565042608,0.0246209529047906,0.0029823414936711,0.0162435423350248,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20301500,Martin,Sichert,AfD,951,0.0278468000427744,0.0,0.0238610396301226,0.0010643736290949,0.011434824315532,0.0005524236426265,0.0,0.0283125715560301,8,"Demokratie, Gesellschaft und Wertedebatte"
3,2021-11-18,ID20301600,Heike,Baehrens,SPD,386,0.0107042665627297,0.0,0.0202523364622614,0.0068752469525775,0.0,0.0133488908352468,0.0079114583228278,0.0421789106295358,8,"Demokratie, Gesellschaft und Wertedebatte"
3,2021-11-18,ID20301700,Katja,Leikert,CDU/CSU,603,0.0245271567677203,0.0,0.0352455112833075,0.0,0.0005455530770633,0.0080050985698088,0.0,0.0312773830598472,3,"Bildung, Soziales und Kommunalfinanzierung"
3,2021-11-18,ID20301800,Detlef,Müller,SPD,455,0.0043633279370104,0.0,0.0328706911892168,0.0071571369419482,0.0,0.0365875329629659,0.0006535811402686,0.0245833832284351,6,Gesetzgebungsverfahren und Verwaltung
3,2021-11-18,ID20301900,Jan-Marco,Luczak,CDU/CSU,1440,0.0606941933581989,0.0,0.0,0.0,0.0119419131866153,0.0339680256406145,0.0,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20302000,Dirk,Wiese,SPD,1008,0.0510702547298403,0.0,0.0070642069136437,0.0,0.0132374705083649,0.02838909978922,0.0033404977760402,0.0,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20302100,Manuela,Rottmann,Grüne,123,0.0110686071511489,0.0,0.0,0.0,0.0077091862452457,0.0252761504502961,0.0,0.0045217087981941,6,Gesetzgebungsverfahren und Verwaltung
3,2021-11-18,ID20302200,René,Bochmann,AfD,139,0.0093475179084564,0.0014258526519753,0.0,0.0,0.0292182272853282,0.0,0.0025706133839825,0.0131257274471441,5,Fragestunde und Parlamentarische Anfragen
3,2021-11-18,ID20302300,Dirk,Wiese,SPD,170,0.0189939958904215,0.0,0.001870136736464,0.0,0.0061460790676965,0.0083952882682433,0.0055712695103012,0.0126890853226628,1,Parlamentarische Diskussionskultur / Debattenbeiträge
3,2021-11-18,ID20302400,Jan-Marco,Luczak,CDU/CSU,169,0.0097365570997453,0.0,0.0011686646213269,0.0,0.0036380660375069,0.0197484486411952,0.0,0.0105006908871116,6,Gesetzgebungsverfahren und Verwaltung
